formatted_nace	ISIC	Sub	NACE
Source	Target		
A	A		
36.0	360	0	360
36.00	3600	00	3600
37	37		37
37.0	370	0	370
37.00	3700	0	3700
38	38		3800
38.1	381	10	3810
38.11	3811	11	3811
38.12	3812	12	3812
38.2	382	20	3820
38.21	3821	21	3821
38.22	3822	22	3822
38.3	383	30	3830
38.31	3830	31	3831
38.32	3830	32	3832
39	39		39
39.0	390	0	390
39.00	3900	0	3900
F	F		
41	41		4100
41.1	410	01	4101
41.10	4100	10	4110
41.2	410	02	4102
41.20	4100	20	4120
42	42		4200
42.1	421	10	4210
42.11	4210	11	4211
42.12	4210	12	4212
42.13	4210	13	4213
42.2	422	20	4220
42.21	4220	21	4221
42.22	4220	22	4222
42.9	429	90	4290
42.91	4290	91	4291
42.99	4290	99	4299
43	43		4300
43.1	431	10	4310
43.11	4311	11	4311
43.12	4312	12	4312
43.13	4312	13	4313
43.2	432	20	4320
43.21	4321	21	4321
43.22	4322	22	4322
43.29	4329	29	4329
43.3	433	30	4330
43.31	4330	31	4331
43.32	4330	32	4332
43.33	4330	33	4333
43.34	4330	34	4334
43.39	4330	39	4339
43.9	439	90	4390
43.91	4390	91	4391
43.99	4390	99	4399
G	G		
45	45		4500
45.1	451	10	4510
45.11	4510	11	4511
45.19	4510	19	4519
45.2	452	02	4502
45.20	4520	20	4520
45.3	453	03	4503
45.31	4530	31	4531
45.32	4530	32	4532
45.4	454	04	4504
45.40	4540	40	4540
46	46		4600
46.1	461	10	4610
46.11	4610	11	4611
46.12	4610	12	4612
46.13	4610	13	4613
46.14	4610	14	4614
46.15	4610	15	4615
46.16	4610	16	4616
46.17	4610	17	4617
46.18	4610	18	4618
46.19	4610	19	4619
46.2	462	20	4620
46.21	4620	21	4621
46.22	4620	22	4622
46.23	4620	23	4623
46.24	4620	24	4624
46.3	463	30	4630
46.31	4630	31	4631
46.32	4630	32	4632
46.33	4630	33	4633
46.34	4630	34	4634
46.35	4630	35	4635
46.36	4630	36	4636
46.37	4630	37	4637
46.38	4630	38	4638
46.39	4630	39	4639
46.4	464	40	4640
46.41	4641	41	4641
46.42	4641	42	4642
46.43	4649	43	4643
46.44	4649	44	4644
46.45	4649	45	4645
46.46	4649	46	4646
46.47	4649	47	4647
46.48	4649	48	4648
46.49	4649	49	4649
46.5	465	50	4650
46.51	4651	51	4651
46.52	4652	52	4652
46.6	466	60	4660
46.61	4653	61	4661
46.62	4659	62	4662
46.63	4659	63	4663
46.64	4659	64	4664
46.65	4659	65	4665
46.66	4659	66	4666
46.69	4659	69	4669
46.7	466	70	4670
46.71	4661	71	4671
46.72	4662	72	4672
46.73	4663	73	4673
46.74	4663	74	4674
46.75	4669	75	4675
46.76	4669	76	4676
46.77	4669	77	4677
46.9	469	09	4609
46.90	4690	90	4690
47	47		4700
47.1	471	10	4710
47.11	4711	11	4711
47.19	4719	19	4719
47.2	472	20	4720
47.21	4721	21	4721
47.22	4721	22	4722
47.23	4721	23	4723
47.24	4721	24	4724
47.25	4722	25	4725
47.26	4723	26	4726
47.29	4721	29	4729
47.3	473	30	4730
47.30	4730	30	4730
47.4	474	40	4740
47.41	4741	41	4741
47.42	4741	42	4742
47.43	4742	43	4743
47.5	475	50	4750
47.51	4751	51	4751
47.52	4752	52	4752
47.53	4753	53	4753
47.54	4759	54	4754
47.59	4759	59	4759
47.6	476	60	4760
47.61	4761	61	4761
47.62	4761	62	4762
47.63	4762	63	4763
47.64	4763	64	4764
47.65	4764	65	4765
47.7	477	70	4770
47.71	4771	71	4771
47.72	4771	72	4772
47.73	4772	73	4773
47.74	4772	74	4774
47.75	4772	75	4775
47.76	4773	76	4776
47.77	4773	77	4777
47.78	4773	78	4778
47.79	4774	79	4779
47.8	478	80	4780
47.81	4781	81	4781
47.82	4782	82	4782
47.89	4789	89	4789
47.9	479	90	4790
47.91	4791	91	4791
47.99	4799	99	4799
H	H		
49	49		4900
49.1	491	01	4901
49.10	4911	10	4910
49.2	491	02	4902
49.20	4912	20	4920
49.3	492	30	4930
49.31	4921	31	4931
49.32	4922	32	4932
49.39	4922	39	4939
49.4	492	40	4940
49.41	4923	41	4941
49.42	4923	42	4942
49.5	493	05	4905
49.50	4930	50	4950
50	50		5000
50.1	501	01	5001
50.10	5011	10	5010
50.2	501	02	5002
50.20	5012	20	5020
50.3	502	03	5003
50.30	5021	30	5030
50.4	502	04	5004
50.40	5022	40	5040
51	51		5100
51.1	511	01	5101
51.10	5110	10	5110
51.2	512	20	5120
51.21	5120	21	5121
51.22	5120	22	5122
52	52		5200
52.1	521	01	5201
52.10	5210	10	5210
52.2	522	20	5220
52.21	5221	21	5221
52.22	5222	22	5222
52.23	5223	23	5223
52.24	5224	24	5224
52.29	5229	29	5229
53	53		5300
53.1	531	01	5301
53.10	5310	10	5310
53.2	532	02	5302
53.20	5320	20	5320
I	I		
55	55		5500
55.1	551	01	5501
55.10	5510	10	5510
55.2	551	02	5502
55.20	5510	20	5520
55.3	552	03	5503
55.30	5520	30	5530
55.9	559	09	5509
55.90	5590	90	5590
56	56		5600
